0;1;2;3;4;5;6;7;tabela_origem;arquivo_origem;ano_origem;8
Engenharia de Produção - noturno - Bauru;40;3;0;1;1;3;4;5;2022-48-59.pdf;2022;
Engenharia Elétrica - integral - Bauru;60;7;0;0;5;2;7;5;2022-48-59.pdf;2022;
Engenharia Mecânica - integral - Bauru;60;6;0;2;4;4;8;5;2022-48-59.pdf;2022;
F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica - noturno - Bauru;60;7;0;0;5;2;7;5;2022-48-59.pdf;2022;
Matemática - Licenciatura - noturno - Bauru;40;8;0;0;5;3;8;5;2022-48-59.pdf;2022;
Meteorologia - Bacharelado - integral - Bauru;40;1;0;0;0;1;1;5;2022-48-59.pdf;2022;
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru;20;4;0;1;3;2;5;5;2022-48-59.pdf;2022;
Química - Licenciatura - noturno - Bauru;20;4;0;0;3;1;4;5;2022-48-59.pdf;2022;
Sistemas de Informação - Bacharelado - noturno - Bauru;40;4;2;0;4;2;6;5;2022-48-59.pdf;2022;
Arquitetura e Urbanismo - integral - Bauru;45;5;0;1;3;3;6;9;2022-48-59.pdf;2022;
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;3;0;0;0;3;3;9;2022-48-59.pdf;2022;
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;30;1;0;1;1;1;2;9;2022-48-59.pdf;2022;
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;6;0;2;1;7;8;9;2022-48-59.pdf;2022;
Design (Design Gráﬁ co) - integral - Bauru;30;6;1;0;4;3;7;9;2022-48-59.pdf;2022;
Jornalismo - matutino - Bauru;40;5;0;0;1;4;5;9;2022-48-59.pdf;2022;
Jornalismo - noturno - Bauru;50;3;0;0;1;2;3;9;2022-48-59.pdf;2022;
Pedagogia - Licenciatura - noturno - Bauru;40;4;1;1;1;5;6;10;2022-48-59.pdf;2022;
Psicologia - integral - Bauru;35;4;1;0;1;4;5;10;2022-48-59.pdf;2022;
Psicologia - noturno - Bauru;35;0;0;0;0;0;0;10;2022-48-59.pdf;2022;
Relações Públicas - noturno - Bauru;50;3;0;1;0;4;4;10;2022-48-59.pdf;2022;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;2;0;1;2;1;3;2;2023-48-59.pdf;2023;
Ciências Biológicas - Licenciatura - noturno - Bauru;40;4;1;1;2;4;6;2;2023-48-59.pdf;2023;
Educação Física - Bacharelado - integral - Bauru;20;0;0;1;1;0;1;2;2023-48-59.pdf;2023;
Educação Física - Bacharelado - noturno - Bauru;20;3;1;1;4;1;5;2;2023-48-59.pdf;2023;
Educação Física - Licenciatura - integral - Bauru;20;3;1;1;4;1;5;2;2023-48-59.pdf;2023;
Educação Física - Licenciatura - noturno - Bauru;20;1;1;1;0;3;3;2;2023-48-59.pdf;2023;
Ciência da Computação - Bacharelado - integral - Bauru;30;2;0;4;5;1;6;5;2023-48-59.pdf;2023;
Engenharia Civil - integral - Bauru;60;2;0;5;6;1;7;5;2023-48-59.pdf;2023;
Engenharia de Produção - vespertino/noturno - Bauru;40;2;2;1;2;3;5;5;2023-48-59.pdf;2023;
Engenharia Elétrica - integral - Bauru;60;6;0;2;6;2;8;5;2023-48-59.pdf;2023;
Engenharia Mecânica - integral - Bauru;60;4;1;6;10;1;11;5;2023-48-59.pdf;2023;
F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica - noturno - Bauru;60;5;0;0;1;4;5;5;2023-48-59.pdf;2023;
Matemática - Licenciatura - noturno - Bauru;40;6;2;3;6;5;11;5;2023-48-59.pdf;2023;
Meteorologia - Bacharelado - integral - Bauru;40;0;0;0;0;0;0;5;2023-48-59.pdf;2023;
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru;20;2;0;1;0;3;3;5;2023-48-59.pdf;2023;
Química - Licenciatura - noturno - Bauru;20;0;1;0;1;0;1;5;2023-48-59.pdf;2023;
Sistemas de Informação - Bacharelado - noturno - Bauru;40;8;0;1;8;1;9;5;2023-48-59.pdf;2023;
Arquitetura e Urbanismo - integral - Bauru;45;4;0;1;2;3;5;9;2023-48-59.pdf;2023;
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;3;1;0;0;4;4;9;2023-48-59.pdf;2023;
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;30;0;0;0;0;0;0;9;2023-48-59.pdf;2023;
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;4;0;2;1;5;6;9;2023-48-59.pdf;2023;
Design (Design Gráﬁ co) - integral - Bauru;30;5;0;1;1;5;6;9;2023-48-59.pdf;2023;
Jornalismo - matutino - Bauru;40;3;1;1;0;5;5;9;2023-48-59.pdf;2023;
Jornalismo - noturno - Bauru;50;6;0;1;3;4;7;9;2023-48-59.pdf;2023;
Pedagogia - Licenciatura - noturno - Bauru;40;2;1;0;1;2;3;10;2023-48-59.pdf;2023;
Psicologia - integral - Bauru;35;1;1;0;2;0;2;10;2023-48-59.pdf;2023;
Psicologia - noturno - Bauru;35;3;0;1;3;1;4;10;2023-48-59.pdf;2023;
Relações Públicas - noturno - Bauru;50;2;1;1;1;3;4;10;2023-48-59.pdf;2023;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;36;1;0;0;1;0;1;2;2024-47-58.pdf;2024;
Ciências Biológicas - Licenciatura - noturno - Bauru;36;1;0;1;1;1;2;2;2024-47-58.pdf;2024;
Educação Física - Bacharelado - integral - Bauru;18;1;2;0;3;0;3;2;2024-47-58.pdf;2024;
Educação Física - Bacharelado - noturno - Bauru;18;0;0;1;1;0;1;2;2024-47-58.pdf;2024;
Educação Física - Licenciatura - integral - Bauru;18;1;1;0;2;0;2;2;2024-47-58.pdf;2024;
Educação Física - Licenciatura - noturno - Bauru;18;2;1;0;2;1;3;2;2024-47-58.pdf;2024;
Ciência da Computação - Bacharelado - integral - Bauru;27;0;1;4;3;2;5;5;2024-47-58.pdf;2024;
Engenharia Civil - integral - Bauru;54;3;1;6;8;2;10;5;2024-47-58.pdf;2024;
Engenharia de Produção - vespertino/noturno - Bauru;36;1;1;1;2;1;3;5;2024-47-58.pdf;2024;
Engenharia Elétrica - integral - Bauru;54;3;1;1;3;2;5;5;2024-47-58.pdf;2024;
Engenharia Mecânica - integral - Bauru;54;2;2;7;9;2;11;5;2024-47-58.pdf;2024;
F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica - noturno - Bauru;54;5;0;1;3;3;6;5;2024-47-58.pdf;2024;
Matemática - Licenciatura - noturno - Bauru;32;2;3;1;2;4;6;5;2024-47-58.pdf;2024;
