0;1;2;3;4;5;6;7;tabela_origem;arquivo_origem;ano_origem
Psicologia - integral - Bauru;35;2;0;0;0;2;2;12;2021-49-60.pdf;2021
Psicologia - noturno - Bauru;35;3;1;0;1;3;4;12;2021-49-60.pdf;2021
Relações Públicas - noturno - Bauru;50;11;3;0;6;8;14;12;2021-49-60.pdf;2021
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;3;2;0;3;2;5;3;2022-48-59.pdf;2022
Ciências Biológicas - Licenciatura - noturno - Bauru;40;5;0;1;1;5;6;3;2022-48-59.pdf;2022
Educação Física - Bacharelado - integral - Bauru;20;5;0;0;1;4;5;3;2022-48-59.pdf;2022
Educação Física - Bacharelado - noturno - Bauru;20;1;0;0;1;0;1;3;2022-48-59.pdf;2022
Educação Física - Licenciatura - integral - Bauru;20;0;0;3;2;1;3;3;2022-48-59.pdf;2022
Educação Física - Licenciatura - noturno - Bauru;20;3;0;0;0;3;3;3;2022-48-59.pdf;2022
Ciência da Computação - Bacharelado - integral - Bauru;30;1;2;0;2;1;3;6;2022-48-59.pdf;2022
Engenharia Civil - integral - Bauru;60;5;0;1;2;4;6;6;2022-48-59.pdf;2022
Engenharia de Produção - noturno - Bauru;40;6;1;1;4;4;8;6;2022-48-59.pdf;2022
Engenharia Elétrica - integral - Bauru;60;5;0;2;6;1;7;6;2022-48-59.pdf;2022
Engenharia Mecânica - integral - Bauru;60;2;1;2;5;0;5;6;2022-48-59.pdf;2022
"F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica -
noturno - Bauru";60;6;0;0;3;3;6;6;2022-48-59.pdf;2022
Matemática - Licenciatura - noturno - Bauru;40;6;1;0;4;3;7;6;2022-48-59.pdf;2022
Meteorologia - Bacharelado - integral - Bauru;40;3;0;0;3;0;3;6;2022-48-59.pdf;2022
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru;20;1;0;0;0;1;1;6;2022-48-59.pdf;2022
Química - Licenciatura - noturno - Bauru;20;2;0;0;2;0;2;6;2022-48-59.pdf;2022
Sistemas de Informação - Bacharelado - noturno - Bauru;40;4;1;1;6;0;6;6;2022-48-59.pdf;2022
Arquitetura e Urbanismo - integral - Bauru;45;6;0;1;4;3;7;11;2022-48-59.pdf;2022
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;5;0;0;4;1;5;11;2022-48-59.pdf;2022
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;30;3;0;0;1;2;3;11;2022-48-59.pdf;2022
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;7;2;0;1;8;9;11;2022-48-59.pdf;2022
Design (Design Gráﬁ co) - integral - Bauru;30;1;0;0;1;0;1;11;2022-48-59.pdf;2022
Jornalismo - matutino - Bauru;40;4;0;0;1;3;4;11;2022-48-59.pdf;2022
Jornalismo - noturno - Bauru;50;5;0;2;3;4;7;11;2022-48-59.pdf;2022
Pedagogia - Licenciatura - noturno - Bauru;40;4;2;0;0;6;6;12;2022-48-59.pdf;2022
Psicologia - integral - Bauru;35;2;0;0;1;1;2;12;2022-48-59.pdf;2022
Psicologia - noturno - Bauru;35;9;0;2;1;10;11;12;2022-48-59.pdf;2022
Relações Públicas - noturno - Bauru;50;4;1;0;1;4;5;12;2022-48-59.pdf;2022
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;5;0;2;1;6;7;3;2023-48-59.pdf;2023
Ciências Biológicas - Licenciatura - noturno - Bauru;40;5;2;1;1;7;8;3;2023-48-59.pdf;2023
Educação Física - Bacharelado - integral - Bauru;20;2;1;1;2;2;4;3;2023-48-59.pdf;2023
Educação Física - Bacharelado - noturno - Bauru;20;3;0;2;3;2;5;3;2023-48-59.pdf;2023
Educação Física - Licenciatura - integral - Bauru;20;3;0;0;1;2;3;3;2023-48-59.pdf;2023
Educação Física - Licenciatura - noturno - Bauru;20;2;1;1;1;3;4;3;2023-48-59.pdf;2023
Ciência da Computação - Bacharelado - integral - Bauru;30;0;0;0;0;0;0;6;2023-48-59.pdf;2023
Engenharia Civil - integral - Bauru;60;4;2;2;4;4;8;6;2023-48-59.pdf;2023
Engenharia de Produção - vespertino/noturno - Bauru;40;1;2;1;2;2;4;6;2023-48-59.pdf;2023
Engenharia Elétrica - integral - Bauru;60;2;4;1;7;0;7;6;2023-48-59.pdf;2023
Engenharia Mecânica - integral - Bauru;60;2;1;4;7;0;7;6;2023-48-59.pdf;2023
"F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica -
noturno - Bauru";60;9;0;1;5;5;10;6;2023-48-59.pdf;2023
Matemática - Licenciatura - noturno - Bauru;40;4;1;0;3;2;5;6;2023-48-59.pdf;2023
Meteorologia - Bacharelado - integral - Bauru;40;1;0;1;0;2;2;6;2023-48-59.pdf;2023
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru;20;0;2;0;0;2;2;6;2023-48-59.pdf;2023
Química - Licenciatura - noturno - Bauru;20;1;1;2;2;2;4;6;2023-48-59.pdf;2023
Sistemas de Informação - Bacharelado - noturno - Bauru;40;2;1;0;2;1;3;6;2023-48-59.pdf;2023
Arquitetura e Urbanismo - integral - Bauru;45;3;0;1;0;4;4;11;2023-48-59.pdf;2023
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;4;0;1;2;3;5;11;2023-48-59.pdf;2023
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;30;1;0;1;1;1;2;11;2023-48-59.pdf;2023
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;5;2;0;1;6;7;11;2023-48-59.pdf;2023
Design (Design Gráﬁ co) - integral - Bauru;30;2;0;0;1;1;2;11;2023-48-59.pdf;2023
Jornalismo - matutino - Bauru;40;0;0;1;1;0;1;11;2023-48-59.pdf;2023
Jornalismo - noturno - Bauru;50;2;1;0;1;2;3;11;2023-48-59.pdf;2023
Pedagogia - Licenciatura - noturno - Bauru;40;7;0;0;1;6;7;12;2023-48-59.pdf;2023
Psicologia - integral - Bauru;35;1;0;0;0;1;1;12;2023-48-59.pdf;2023
Psicologia - noturno - Bauru;35;0;0;0;0;0;0;12;2023-48-59.pdf;2023
Relações Públicas - noturno - Bauru;50;7;3;0;5;5;10;12;2023-48-59.pdf;2023
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;36;3;0;2;2;3;5;3;2024-47-58.pdf;2024
Ciências Biológicas - Licenciatura - noturno - Bauru;36;8;1;5;3;11;14;3;2024-47-58.pdf;2024
Educação Física - Bacharelado - integral - Bauru;18;0;0;1;1;0;1;3;2024-47-58.pdf;2024
Educação Física - Bacharelado - noturno - Bauru;18;3;0;0;3;0;3;3;2024-47-58.pdf;2024
Educação Física - Licenciatura - integral - Bauru;18;1;1;0;2;0;2;3;2024-47-58.pdf;2024
Educação Física - Licenciatura - noturno - Bauru;18;0;0;0;0;0;0;3;2024-47-58.pdf;2024
Ciência da Computação - Bacharelado - integral - Bauru;27;0;0;1;1;0;1;6;2024-47-58.pdf;2024
Engenharia Civil - integral - Bauru;54;1;0;2;2;1;3;6;2024-47-58.pdf;2024
Engenharia de Produção - vespertino/noturno - Bauru;36;5;0;1;3;3;6;6;2024-47-58.pdf;2024
Engenharia Elétrica - integral - Bauru;54;1;0;3;3;1;4;6;2024-47-58.pdf;2024
Engenharia Mecânica - integral - Bauru;54;0;1;3;3;1;4;6;2024-47-58.pdf;2024
"F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica -
noturno - Bauru";54;10;0;3;6;7;13;6;2024-47-58.pdf;2024
Matemática - Licenciatura - noturno - Bauru;32;1;3;0;2;2;4;6;2024-47-58.pdf;2024
Meteorologia - Bacharelado - integral - Bauru;30;0;0;1;0;1;1;6;2024-47-58.pdf;2024
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru;18;0;0;0;0;0;0;6;2024-47-58.pdf;2024
Química - Licenciatura - noturno - Bauru;18;1;0;0;0;1;1;6;2024-47-58.pdf;2024
Sistemas de Informação - Bacharelado - noturno - Bauru;36;0;1;1;0;2;2;6;2024-47-58.pdf;2024
Arquitetura e Urbanismo - integral - Bauru;45;3;1;0;2;2;4;11;2024-47-58.pdf;2024
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;4;2;0;3;3;6;11;2024-47-58.pdf;2024
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;27;2;0;1;0;3;3;11;2024-47-58.pdf;2024
Design - integral - Bauru;30;1;0;0;0;1;1;11;2024-47-58.pdf;2024
Design - noturno - Bauru;60;9;0;2;3;8;11;11;2024-47-58.pdf;2024
Jornalismo - matutino - Bauru;36;1;1;0;0;2;2;11;2024-47-58.pdf;2024
