0;1;2;3;4;5;6;7;8;tabela_origem;arquivo_origem;ano_origem;9;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;4;0;0;0;;4;4;9;2017-47-58.pdf;2017;;
Comunicação Social - Jornalismo - diurno - Bauru;40;2;1;0;1;;2;3;9;2017-47-58.pdf;2017;;
Comunicação Social - Jornalismo - noturno - Bauru;50;1;1;4;3;;3;6;9;2017-47-58.pdf;2017;;
Comunicação Social - Radialismo - diurno - Bauru;30;0;0;0;0;;0;0;9;2017-47-58.pdf;2017;;
Design (Design Gráfico ou Design de Produto) - noturno - Bauru;60;3;0;0;3;;0;3;9;2017-47-58.pdf;2017;;
Design (Design Gráfico) - diurno - Bauru;30;2;0;1;1;;2;3;9;2017-47-58.pdf;2017;;
Pedagogia (Lic) - noturno - Bauru;40;6;1;0;0;7;7;;10;2017-47-58.pdf;2017;;
Psicologia - integral - Bauru;35;3;0;1;2;2;4;;10;2017-47-58.pdf;2017;;
Psicologia - noturno - Bauru;35;0;0;1;1;0;1;;10;2017-47-58.pdf;2017;;
Relações Públicas - noturno - Bauru;50;2;2;0;3;1;4;;10;2017-47-58.pdf;2017;;
Arquitetura e Urbanismo - integral - Bauru;45;1;0;3;2;2;4;;11;2017-47-58.pdf;2017;;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;10;1;1;4;8;12;;11;2017-47-58.pdf;2017;;
Comunicação Social - Jornalismo - diurno - Bauru;40;2;1;3;1;5;6;;11;2017-47-58.pdf;2017;;
Comunicação Social - Jornalismo - noturno - Bauru;50;8;3;0;2;9;11;;11;2017-47-58.pdf;2017;;
Comunicação Social - Radialismo - diurno - Bauru;30;4;1;2;2;5;7;;11;2017-47-58.pdf;2017;;
Design (Design Gráfico ou Design de Produto) - noturno - Bauru;60;10;1;0;6;5;11;;11;2017-47-58.pdf;2017;;
Design (Design Gráfico) - diurno - Bauru;30;5;0;0;5;0;5;;11;2017-47-58.pdf;2017;;
Pedagogia (Lic) - noturno - Bauru;40;12;0;0;2;10;12;;12;2017-47-58.pdf;2017;;
Psicologia - integral - Bauru;35;7;0;1;2;6;8;;12;2017-47-58.pdf;2017;;
Psicologia - noturno - Bauru;35;2;1;1;0;4;4;;12;2017-47-58.pdf;2017;;
Relações Públicas - noturno - Bauru;50;6;2;4;5;7;12;;12;2017-47-58.pdf;2017;;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;27;9;2;0;17;23;40;1;2018-47-58.pdf;2018;;
Ciências Biológicas - Licenciatura - noturno - Bauru;40;32;5;2;0;19;21;40;1;2018-47-58.pdf;2018;;
Educação Física - Bacharelado e Licenciatura - integral - Bauru;40;30;5;1;2;27;11;38;1;2018-47-58.pdf;2018;;
Educação Física - Bacharelado e Licenciatura - noturno - Bauru;40;26;9;2;1;31;8;39;1;2018-47-58.pdf;2018;;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;5;0;1;2;4;6;;2;2018-47-58.pdf;2018;;
Ciências Biológicas - Licenciatura - noturno - Bauru;40;4;2;0;2;4;6;;2;2018-47-58.pdf;2018;;
Educação Física - Bacharelado e Licenciatura - integral - Bauru;40;3;1;0;2;2;4;;2;2018-47-58.pdf;2018;;
Educação Física - Bacharelado e Licenciatura - noturno - Bauru;40;3;2;0;5;0;5;;2;2018-47-58.pdf;2018;;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;6;3;1;4;6;10;;3;2018-47-58.pdf;2018;;
Ciências Biológicas - Licenciatura - noturno - Bauru;40;10;1;1;5;7;12;;3;2018-47-58.pdf;2018;;
Educação Física - Bacharelado e Licenciatura - integral - Bauru;40;7;2;1;4;6;10;;3;2018-47-58.pdf;2018;;
Educação Física - Bacharelado e Licenciatura - noturno - Bauru;40;6;2;0;5;3;8;;3;2018-47-58.pdf;2018;;
Ciência da Computação - Bacharelado - integral - Bauru;30;15;2;7;4;19;7;26;4;2018-47-58.pdf;2018;;
Engenharia Civil - integral - Bauru;60;17;16;21;0;43;17;60;4;2018-47-58.pdf;2018;;
Engenharia Elétrica - integral - Bauru;60;20;6;34;0;55;5;60;4;2018-47-58.pdf;2018;;
Engenharia Mecânica - integral - Bauru;60;9;14;34;0;55;5;60;4;2018-47-58.pdf;2018;;
em Física - noturno - Bauru;;;;;;;;;4;2018-47-58.pdf;2018;;
Matemática - Licenciatura - noturno - Bauru;40;29;6;11;-8;26;22;48;4;2018-47-58.pdf;2018;;
Meteorologia - Bacharelado - integral - Bauru;40;30;2;5;3;22;15;37;4;2018-47-58.pdf;2018;;
#NOME?;;;;;;;;;4;2018-47-58.pdf;2018;;
Sistemas de Informação - Bacharelado - noturno - Bauru;40;27;3;8;2;33;5;38;4;2018-47-58.pdf;2018;;
