curso,vagas,convocados,lista_espera,relacao_adic,vagas_reman,masc,fem,total,metodo_ingresso,area
Engenharia Eletrônica e de Telecomunicações - integral - São João da Boa Vista,40.0,,,,,,,,isento_carente,Exatas
Engenharia Industrial-Madeira - integral - Itapeva,40.0,,,,,,,,isento_carente,Exatas
Engenharia Mecânica - integral - Bauru,60.0,,,,,,,,isento_carente,Exatas
Engenharia Mecânica - integral - Guaratinguetá,60.0,,,,,,,,isento_carente,Exatas
Engenharia Mecânica - integral - Ilha Solteira,40.0,,,,,,,,isento_carente,Exatas
Engenharia Mecânica - integral (com ingresso no meio do ano) - Ilha Solteira,40.0,,,,,,,,isento_carente,Exatas
Engenharia Mecânica - noturno - Guaratinguetá,30.0,,,,,,,,isento_carente,Exatas
Engenharia Química - integral - Araraquara,40.0,,,,,,,,isento_carente,Exatas
Estatística - integral - Presidente Prudente,30.0,,,,,,,,isento_carente,Exatas
Física - Bacharelado e Licenciatura - integral - Rio Claro,40.0,,,,,,,,isento_carente,Exatas
Física - Bacharelado e Licenciatura - noturno - Guaratinguetá,40.0,,,,,,,,isento_carente,Exatas
Física - Bacharelado em Física Biológica e Licenciatura em Física - integral - São José do Rio Preto,50.0,,,,,,,,isento_carente,Exatas
Física - Bacharelado em Física de Materiais - vespertino/noturno e Licenciatura em Física -,,,,,,,,,isento_carente,Exatas
,60.0,,,,,,,,isento_carente,Exatas
noturno - Bauru,,,,,,,,,isento_carente,Exatas
Física - Licenciatura - noturno - Ilha Solteira,30.0,,,,,,,,isento_carente,Exatas
Física - Licenciatura - noturno - Presidente Prudente,30.0,,,,,,,,isento_carente,Exatas
Física Médica - integral - Botucatu,40.0,,,,,,,,isento_carente,Exatas
Geologia - integral - Rio Claro,35.0,,,,,,,,isento_carente,Exatas
Matemática - Bacharelado e Licenciatura - integral - Rio Claro,40.0,,,,,,,,isento_carente,Exatas
Matemática - Bacharelado e Licenciatura - integral - São José do Rio Preto,55.0,,,,,,,,isento_carente,Exatas
Matemática - Licenciatura - matutino - Presidente Prudente,40.0,,,,,,,,isento_carente,Exatas
Matemática - Licenciatura - noturno - Bauru,40.0,,,,,,,,isento_carente,Exatas
Matemática - Licenciatura - noturno - Guaratinguetá,30.0,,,,,,,,isento_carente,Exatas
Matemática - Licenciatura - noturno - Ilha Solteira,30.0,,,,,,,,isento_carente,Exatas
Matemática - Licenciatura - noturno - Presidente Prudente,50.0,,,,,,,,isento_carente,Exatas
Matemática - Licenciatura - noturno - São José do Rio Preto,45.0,,,,,,,,isento_carente,Exatas
Meteorologia - Bacharelado - integral - Bauru,40.0,,,,,,,,isento_carente,Exatas
Química - Bacharelado em Química Ambiental e Licenciatura em Química - integral - São José,,,,,,,,,isento_carente,Exatas
,50.0,,,,,,,,isento_carente,Exatas
do Rio Preto,,,,,,,,,isento_carente,Exatas
Química - Bacharelado em Química e em Química Tecnológica - integral - Araraquara,50.0,,,,,,,,isento_carente,Exatas
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru,20.0,,,,,,,,isento_carente,Exatas
Química - Licenciatura - noturno - Araraquara,30.0,,,,,,,,isento_carente,Exatas
Química - Licenciatura - noturno - Bauru,20.0,,,,,,,,isento_carente,Exatas
Química - Licenciatura - noturno - Presidente Prudente,40.0,,,,,,,,isento_carente,Exatas
Sistemas de Informação - Bacharelado - noturno - Bauru,40.0,,,,,,,,isento_carente,Exatas
* Incluídos os cursinhos comunitários apoiados pela Unesp.,,,,,,,,,isento_carente,Exatas
,,,,,,,,,isento_carente,Exatas
